property_id,link,property_name,address_street,address_town,address_zrea,room_number,floor_area,building_status,year_of_construction,year_of_top,floor,energ_cert,price,price_area
JuGqKZKGKVu,https://www.nehnutelnosti.sk/detail/JuGqKZKGKVu/gestto--2l5-izbovy-byt--predaj--maly-pariz--horne-basty--trnava--videoobhliadka,"GESTTO | 2,5-IZBOVÝ BYT | PREDAJ | MALÝ PARÍŽ – HORNÉ BAŠTY | TRNAVA | VIDEOOBHLIADKA",Horné bašty,Trnava,okres Trnava,2,68,Novostavba,2011,,3/3 + výťah,B,189000,2781
JuXEBEw3V11,https://www.nehnutelnosti.sk/detail/JuXEBEw3V11/gestto--1-izbovy-byt--predaj--maly-pariz--horne-basty--trnava--videoobhliadka,GESTTO | 1-IZBOVÝ BYT | PREDAJ | MALÝ PARÍŽ – HORNÉ BAŠTY | TRNAVA | VIDEOOBHLIADKA,Horné bašty,Trnava,okres Trnava,1,55,Novostavba,2011,2025,3/3,B,146000,2648
JuhJ9v9iE58,https://www.nehnutelnosti.sk/detail/JuhJ9v9iE58/gestto--3-izbova-novostavba-na-predaj--parkovacie-miesto--balkon--loggia--zavar,GESTTO | 3-IZBOVÁ NOVOSTAVBA NA PREDAJ | PARKOVACIE MIESTO | BALKÓN | LOGGIA | ZAVAR,Ulica Zavarská,Trnava,okres Trnava,3,80,,2006,,2/3,B,172900,2148
