listing_id,conflict_fields,source_count
ee5aa8930327933bfe68d77ad9ed620f25c72aac,"room_number,building_status",792
9fed9ec90d9be69dcfad4cb18eea5fbc74fe3e17,"room_number,building_status",9
d12d000a6cc53040c8041bd27d64cfa73935a929,"room_number,building_status",2
e902cb48023c2dcb7373f3333d49f8de76c762b9,"room_number,building_status",9
88c487045e5bd178ce411e083f72280f45d2cdec,building_status,2
dab9f2299b9b9df165280beab68e9df96e45355c,building_status,2
8341c50f84d216c326ca67baa0c34270bb343515,building_status,4
cb7fadbc5e50ea525579083b3654fd07ea7aca5c,building_status,8
ff04d58e47fa1fd59d6d033ff3ef8f35b290b622,"size_m2,room_number,building_status",30
685225ca7c84f316dce21ff228a4fa94fdbb735e,"room_number,building_status",2
9e3cf46b761d79f3ab8c088c1eb7cef5fe799455,building_status,7
a0c8ada11dc3e61e82ed92af7a9c604516620c6d,"room_number,building_status",18
8a72e35090166190e29941091e9484776adcb66e,"room_number,building_status",4
dea4fab92b6bdfec0f37ef09cbe0cd0b0fe12e65,building_status,2
840e564c70bbab66a8e9c12aeac0717a85c34531,"room_number,building_status",2
461114de1feb349c37b6ac8224636a937c52f4c2,"room_number,building_status",4
85566e0557db0640f83c422c40f25c43c90e2905,room_number,2
9aad8f05a2f1d158d5fe2de7ef8c7430476daadc,,1
2548b6f1e8db0ba6cbec38403a5a91a59ce7d7bc,"room_number,building_status",4
f8c40e217faaa1946c488551bc71f3466a906925,"room_number,building_status",11
0a9811108662c2380bac49dfbf65e4e1bddfac3b,"room_number,building_status",105
0850a2a6005adbf57d9e6731fb19dcbd2a38f9a6,"room_number,building_status",78
3f8bdd9378ad58bc6044653f00318b436f1375f7,"room_number,building_status",7
1942a8bc6ff3636572597c51d6672fe33f4fc338,"room_number,building_status",14
0f16c9c9a8337cf057f96fdbf08e92aa8cdf26e7,building_status,10
c3705914abf0aa9ae5e8212a17c730d65c5df6e2,"room_number,building_status",12
8ca4a055f2e8abc2117c92226e34abaf39bca971,"room_number,building_status",17
87237e38d27bfcd06543c0491790e57005968437,building_status,2
d4b2c1081ac5374e93e75dc652ebbc0e52dd98ac,"room_number,building_status",3
66dc9ad6fdd2f081bde9904fdd11c45b699802c5,building_status,5
3abf06febf62334c5c3042ceec4dbf91d642a76c,building_status,2
e4cbeef7edbdd607c3cf5849d4f58429996579c1,,1
70c730ad1304729f7c9d6a89558cdf13f2fac4aa,"room_number,building_status",3
5f9136eec05ce1e730718d1a06e4e5ee3c4dce95,"room_number,building_status",18
8b1903ecc8c8e88d211e2ffb7bc0e27280f3a15b,"room_number,building_status",9
416fab7e38b38cd210afcb402aa1853d37e7601b,building_status,2
96f0314e4bb3c99263e91df399819bee11969392,"room_number,building_status",2
d464a9ab9c7ae77072211d44b59ca547f80bb85d,"room_number,building_status",6
ea8ec5c2d19b3fa2bc456df32ee602645f524383,building_status,8
267f59ef311cf40f29b7754dec079a8232b41613,"room_number,building_status",13
8b7cfe906fd18e2ada747c28457c265a30d07057,"room_number,building_status",12
4082c9c5884becf2f93f3212143a9de0bd47bfb6,room_number,2
c8117b33d566914fe13d31ffebf8c8c01b5b29dc,building_status,11
1dd0e1e65c6d6ca5b5ce03d14b57ed7fb9085979,"room_number,building_status",6
a3d70bc8ffc0491ebf6476aa92721e2a83bf0595,"room_number,building_status",3
bb043259c782564ba86cc010f27ee0d6fa0bba8f,"room_number,building_status",19
33968a5cb6421a18a9c4402a41f7abbd1a0703e6,"room_number,building_status",8
bfb88f01359bec07eb7342f896f4a2283b445da1,"room_number,building_status",4
9079502d881a2f030e29c495cee3a5351c8e575d,,1
199dbbef42fa1165cff8455bf75ffcb69a698c5f,,2
c80e2b8c9840a8d85e14453daa624bd7b3ba9f40,,1
9a1c2a65dfc6e129f02a03cdf3ab718e581d4599,,2
683f18f8dbf3ae5c29d8b0d1b41ef000865a087b,,1
5c7d3cac5fc996aa67e2e4511ac9bbfac8631824,building_status,2
ae0ed67aee56258ccf107c1fe146bbf6bab2716e,building_status,2
417811cfc1e2beac1fc5d3bbc8110e1a4b8d34e9,building_status,2
60d2146eb51033e050e1233b0471514f2336add9,"room_number,building_status",4
21a436a154aefa3ed71d9bad8862ebca5f1bf696,building_status,6
7b5672f58f8269e8bfb62a84ee6ce1e65ef1b91d,"room_number,building_status",5
37a9b2a8235c35e511909786bede8e0f4734b972,,2
ad92d3efae2877a0eca17fb08b1b654029ec2559,,2
9d6bb4ca250037339d96d84bb6699f66267ee153,,2
5abb420276b4da3fbc3ecf6fac2dc28cc9c4048e,building_status,2
85a6e2b53af4fe64dd183aefbe012c1a16499006,building_status,2
f128ddf60c8830c28003ecaa7fa66527be88243b,room_number,2
41aa11252aef96586ff611c0cd4a842ace49cd70,"room_number,building_status",5
c0f17936d1af91f6f0593d6d86fa5fede053dc54,building_status,2
fe1704850c6956c91afde9e2c4afc62834b0013b,"room_number,building_status",7
9230f17f06f02d38e5705235b4f7339ebf9c9808,"price,building_status",3
b934022167d36d1bb71a7d2ad41883ceab6d38f8,,1
dace9d5f6a4c8b423766880e6d5abc40336062c5,"price,room_number,building_status",3
178b498a5f80738f2585c1d035d97e9cd497c6bd,building_status,2
ff4b1bf72b526eb09a27db425eb0950ddea3eac8,,1
43308d33293fb3bb81784b2a724fe671d7ad0f65,,1
7bffaf9016cdab02da16abfd2a408f8359565a3b,,2
cc2f165e0ef009951fe89cce320e0a7b8d1f9e8b,,2
06ec404627b0b98a242be8d54b58a85c6ff9b40a,building_status,2
4fc83220af2587f124ffbcbe201f73218100ceb2,"price,room_number,building_status",8
c9ff35b15d5958c615292f63bc694b63af941c91,"room_number,building_status",5
8229b97ebf5ce9bef6ea0af9b3a9e458f33777b1,,1
