listing_id,conflict_fields,source_count
36430b6c9b53677d8cfe03e30d339256b70dfcbd,"room_number,building_status",2
30d09c9e3a1cc53973a57fbd36467d728d643b06,building_status,2
46ea8a20533cb8ab620b9d94a384b95c196a3f5b,"size_m2,price,room_number",4
980b386baf59605ef8d58d17759ea683666970a4,,2
c674fe8aedf233fdacdb747da9c7e73cdb38c11c,"size_m2,price,room_number,building_status",24
233d53c45bf8fc549bffeadf90dfcaf03917a795,building_status,2
c6360f171d371c6d33cfc907dabbfd8c8a7de488,,1
f2d23d214c0294ce92f0886496c7bbea86d2d721,,2
ea3d63b18f828573ae51e8af23c81d7bba9f22f2,,2
8045c53b93d533f2b377a48acaee482680f5498b,"size_m2,price,room_number",4
d1fe1ad81f6f14e3daabaf5a84d753b6153622ab,,1
be3fb28f5e1343d3099917e8d0d0eadb4921b719,"price,building_status",6
3691fbeb28336ab763d95e49fc84fb3b33cc7b7e,,2
faf1afb6d44070bbf6cc394f05c006b362acd3d1,building_status,2
ecc47c4935a82b5f620297ea29d66ecfb9607d1c,,2
1ace9cdcb09f501d469eec5fc1095841254c4ae2,,2
364e6889cd62383011684b47812a52fa730ce797,,2
bc3f86ba8b9b7a45652ca424df015ebcf91272da,,1
6fe1c51f6bba63ed1c19aad5a007a41b2ad3f1e8,building_status,5
0dea480b4e97f574d3d62aa15f0c78e67edc65fb,"size_m2,price,room_number,building_status",20
bda273ba7704f74fa75d80afa8fa39a917af09fd,"size_m2,price,room_number",13
69f17600670baad3709e0531e94d820e31ea3d7e,,2
f3ee4cfdbf14c71117a300ef53d37f171bef9305,room_number,2
306f9b7241b43c17aec54437c206a7ad00133c52,building_status,2
42263c28826a73e7602beac66dfb2ecd3f56e4b5,,2
401efb918aaa065e7dfc438deef93838000fc870,building_status,2
97b34fbbd2b46bd41d7ca61ff87922e64778af30,,2
13f236ba3735f9fbf86050bbc0db316f964b739c,,1
cfa33e2dc1c205db2fcb382ddd9e9a95e76c5c4f,building_status,2
5acf0f495306d3b864bb4a21bdbcf1f7d27e81b9,,1
c4d0eaf96705f6093b3c7031f2d8b34ee494d748,,1
7d3a43d9d7862944ef41f2e58801c1d463f4eab0,building_status,3
006059adfd08920fadb7dd2d2aa5065f45e8c614,building_status,2
522b6ffc6fb2ebf1c8a9358153e17085ad346973,building_status,2
76b7d87d7d92082a46a8f1ecd834f5e2a9b3553e,building_status,2
1068df0d4c3f75dd3c404695820fa273f44e862b,,1
76b7d87d7d92082a46a8f1ecd834f5e2a9b3553e,building_status,2
dace9d5f6a4c8b423766880e6d5abc40336062c5,"room_number,building_status",2
6ec8dbcaeb16ac8a1b1502af530bea3037b6d393,,1
5f479224b1a095a4bcb63892271dacaae8406a8d,room_number,6
27ffd732680a220b77eb4ea6a0dadf672a029c6c,,1
8c051ea0c42930ff2dcb3445251cc9559b9b215c,,1
ead2bfdd410e4fa051f0b2076eb26115a85c24f9,price,4
8bc2edbadb356f0d6adc244a62d31564a5f3f6fa,,1
3ffae0b92d5641f880c8c8c21dbe659cb2300d20,"room_number,building_status",2
178b498a5f80738f2585c1d035d97e9cd497c6bd,,2
01285c0f82660036438db0e7ce6b4cea8ca2f64c,,2
bf7fe9f6912e4c6f981007e06f7faea5c86b0c1d,"room_number,building_status",2
7541b192cd25301d145af21f41ca4c2d321aa9f4,,1
0252d9fcc43e4b5dbd12a76b67246ec2a97e45b9,"price,room_number",4
0a33caa8d2652fca5fe4d0a1d57ea2fdc337aa6c,room_number,2
69e239a8d48c23888e79d41c1ed3e095e504ae26,room_number,3
5eb0d7ec87d243aa930780c0b72a4fbc2f15c4b6,,1
43910c3f056b02c8723c9cfbb55db74554ec0b07,room_number,2
44795cc559bf96521a3d8eee88dd5e5d2ffea15a,room_number,2
d6e7f761d45ea9920763246599753e99752eb86b,,2
ccd45eea84cba503a29f2cc4d5358c4c33144c46,,2
a6ff3ae24631ac96bf3589adcd395376667d6743,,2
eaaeadcfefa4fae0334a2669e531962823d4edc3,,1
2b90de098aacefebf316f0c9dcb39a4efb639d36,,2
3823edce25a35281a3fc78493ae4339bce3711fe,,2
75875c4c3efb5411206a34caa5a833fe39e70837,building_status,2
a22df9b18dc67bfcad002477eb9a2e832e500028,building_status,2
a28d242cb3e33cae9a3e9095697cee930f60be43,building_status,2
9230f17f06f02d38e5705235b4f7339ebf9c9808,building_status,2
d0eecc30ea7f2cf6a1a0ddac465c18a3d447a1c2,,2
75636501ce2d87f574b7845606c2aa2b24c2c007,building_status,2
d0b59265da6c25899faeb7069a7288db9fc6bcfd,,1
a98d2bb749e303a84756a210364cb5f29f6e228d,,2
767c2b4e88a041cbf6820ef7c52d3f240a8f0ff0,"room_number,building_status",2
f1c664d576cc5f4b96671f3dce5c34e19d5dde87,,1
16ad5d919d93ed5d9fff902c6791beca123ba6a3,,1
2cd8ae1e16b13d45c8014ebbfe384fc2903e2e02,building_status,2
3ab52bcdd58b89a9ad2dac88af7598f088cbb15b,building_status,2
c4315795e871d0be200099055a785ef48070b7e3,building_status,2
ff8c0d70ab33c93815014e70f9962f97382e562f,building_status,2
d41e182a463c45280827398a960a8fd80c38e418,building_status,2
cbe552254ec8fbe32cb0bd0570aa500f9f3d3c14,building_status,2
539fa1a09cceb0c1a8f59c81ef7bf1e9be3d26d5,building_status,2
f55959ca66e386cf6dda65c7b7f70c992d50ae39,,2
4fc83220af2587f124ffbcbe201f73218100ceb2,room_number,2
7ba063cbd65054a176c4984cc149ca4d778868c2,,2
ad228e7e0c5340cfd1608661f2aa5f8d39740c94,building_status,2
53bcaea25f7b833e8d527050beca6b29fd908427,"price,building_status",9
03e47e8e7f0eda900fd9fd8d275bbf83653705f4,,1
9d4ac81cf196c3dbb676ce16610919fb6ca32562,building_status,2
eb3843746f9462335d10a03e042a17368239919c,building_status,2
aaf7fad29692a4749fba85846292e646c14d21d9,,2
42304be849a15e9b60ae4bc8f1e3fab98f190947,building_status,4
014bfd772a6c074be1fbb89618101be321ba4a10,building_status,2
438b98c25edae832726c7bc945d19d40483f9f03,,1
6288a9ca6af7abad85ab29bc95386ea503c5acf6,,1
64d087fcc15ec20c50a11d932e7263512da06300,building_status,2
dc7ce125d101b2d665a6094dca5f1c15bcae2572,,3
3ca5b1c4acd08d8fc2129dacc861dea13e45ff38,building_status,2
2585ee6c015d2559d324d509b76629f62955b7b5,building_status,2
86ca03e56a85013ff7adcb7089fb6756751d789b,building_status,2
3a25542e435b9145e44945689d71b8b63f364012,,2
d0ccbbef210a1eb87cb06a7754fe018894696dc5,"price,room_number,building_status",3
8fcf78a67e738e9c47f04afc694412315ad68621,"price,building_status",8
81f2206ede3462bd82e5a2d8e3d21e85b393fe31,building_status,2
eea3a71bbd1868f842a56a21876b75d1ffdf0727,building_status,2
a28348c7b00ca535a766a352444b8746cc7a5c08,,2
4ba1fe5b401a582eacbbc7281319c29fe37b1c2f,,1
bd27feb5629f1ff3fba7c58da4f40b138549c8d2,building_status,2
4ed6542af0ff686b41d2a608c35224f8c89be294,,1
41aa11252aef96586ff611c0cd4a842ace49cd70,building_status,2
0c5957c5a429637e48bd2313a1ade6d8f3468a4c,building_status,2
7018492a90ddc2609f735fb23a8597a4168e9c17,"price,room_number,building_status",3
e4999e61560a7f0087bd88ab529729461a91597a,building_status,2
ab9b533eb92e92e03857af3a5516983ab01ca986,,2
8a5df6b9d47174ca258091ef2a6d6faacff6d259,,2
28b5f43b731c393a45c037fb9b50a03a75c6657a,,2
a7da206fb522395cf93344fe22b92274f7680573,,2
b59272553ecc5a2650d77c63d95314175ecd063c,building_status,2
8adb52cb5406fde53207b6ed5ee91153a923c75d,room_number,4
a831887e4d284559f4100dc61eeeebed5ea3af6f,,2
8590e08deab7063e0a2295054e15226ff4e9edc9,,2
6225e8411210957615f5495596fba1fd84d3b679,"room_number,building_status",2
77a92d5c46d1aff8755ed31f9d9b6a150f059fa6,,3
435fb6407c50605c05b6502f54ca0486a3b2d01b,room_number,2
ee999d4a8aa0e645ac71a56bd6786b66ae55ce0f,building_status,2
3daec491dff25bb25401a9246626b8e0e0ab7904,building_status,2
93409192570eda26de43eb915d1ef0e6a14b0743,building_status,3
19b3f601a6a53511ca7c6947be3dd6b85c4b6132,building_status,2
414bbfc3a3923ac3c6f458de7d0a634950fd94f3,,1
c665b646e300c26988ab35ee89292084124f8061,room_number,2
5b078ba71596daa80a723f12694e72accb40947e,,1
bfdb3b20d653b2654cee259d69b0191dd6516b53,building_status,2
51814ad23b4ac38ef5d08a01de2253143532dcb9,,2
edd98207cd80d358595def7831801900ba0703cd,,1
47470bd1bce6e09c8cdd9f79c26ad2a4418e46c6,building_status,2
d628009d04931816d2e9385ad6d53249287844f6,building_status,2
9f2fe2dc4be839887c5490c4b15b962108e41574,"price,room_number,building_status",3
aa0f5bd0a775ce3edcf7e5fc65a412fa5a6119c4,"size_m2,price,room_number,building_status",4
02c92dd44fbdc99734c98696b28be37eb0e3a4f9,building_status,2
bfffcef78c3d52c94510fffe4b2087eb567d4489,building_status,2
b63069842906baf7c312d08158a3bb12dbdf6d90,building_status,2
134711cd37b226c1408c8069bb7256d49263ba38,building_status,2
6ecf65b445632e5f54bff3f84ab506d13a804277,,2
62657d32cc22078d3e30e927709d5f0147cb247e,building_status,2
823ecd63dc57b2f093b8bb72204c85ae9cc9128b,,1
ad8aa62c6b5a2ce4cba7da346091039928735651,building_status,2
91b252f1472a8f7effe24be3173760b6f619dd57,building_status,2
26c1c833104d910f1ceabcb67d3de2fede36c79f,building_status,5
91aad22396d75e0d3fc43edcd0337c6138e92ec6,building_status,2
c41a5f715e0be0fc78cfbf7fe130000a370cb66d,,2
cce484c8e03f1fe70053f674407b6ec1642329cd,,4
db0b978883f6a48106f8107949d9e5ba00473dcb,"price,building_status",3
83ced5cef3f1d353cdeac6b1a9f5a4b1476ee319,building_status,2
ab0f196bff89a200b6b681e0f189df66c3e7a356,building_status,2
3550c49f766b246af403f3b3fb5165d0271dba09,,2
759ea4600a9c1c0b4752b463bee7b10c50820130,,1
e27de2571e62f9fef30ec030a41202275b58b4e5,building_status,2
875f81332b1316d756861c3a392a7af4b7b33c28,building_status,2
8a923bde4be4079b92dbcf960451463aa7133b63,,2
bd5cb35a9e85f09e6ed083cd4cfaffb83093c886,,2
aab46e97a9af9cc3b62f160e78a0474a45588dae,building_status,2
2937299e2100b8ede06f344b3bd73efb3c5fd22b,building_status,2
96841c6e37b96a60715a02dddee1bf3aece470af,building_status,4
39229a6fc718afbd2aefbf211f6b75e648bc89c0,room_number,2
32bb98e498dcabfb386c14fb037549f1b06af34f,building_status,2
b18b471a24a5a9e4552af0f070fe6b3c4fe465d1,,1
a685ee4aa3965a75135db0f081cbdaac4ba3c37d,building_status,2
ed5de53f52eea203e8e37a443ed7343f4dec06ac,"room_number,building_status",2
8514387afe45f250a8428871615c0dce516233da,,1
2226b1458464e8a20ab9ebcc4a87f0bd8ecbd639,building_status,4
fe345e4d6ec4203a79a5f04e6a1eab795847f292,"price,building_status",3
c7ad563b60df53c5876690e38f349ff7a31999c6,"price,room_number,building_status",3
933ca54f635ae0c35459cc8288da5726f8ea270c,"size_m2,price,room_number,building_status",4
cd13b096890f38943303ee20baf3263bf762a03e,"price,room_number,building_status",3
75a8b7ceec7e26c96bc5e4b43e79d28ef0baae17,"room_number,building_status",2
23ca1a0ee547e519719728b930997b7539134631,,1
0e564372a66c32a741452de1d8dc5340adf9dcd6,building_status,2
b9c256d401b7f8db1526d17ebba33f07cacdf6ef,building_status,2
d6a291454670954edb980cdbde22539276b27c6c,,2
ff9dec96944543f894c90ff8327455012166b310,"room_number,building_status",2
89f74ecf06ef2e2fcafa2e710084215745f8f155,building_status,2
121a9b7c379305d29ae7137b9273c509154b847a,building_status,2
830f647210784135fb5fdbb24133c6acd694247f,building_status,2
803e2c4c109ec06df036f7e08dfe7a89f2a497fa,"room_number,building_status",2
2f9797f88cfe39d9c5f1d5067ffb1be1b6f27e72,building_status,2
0b90f77d0dd45f3c24216c74be5787912f54cc29,,1
dcd206001039e9f1a5ff03b54038c450342c3586,building_status,2
1dc9450161d7543307a5e28b040348bb358003c9,room_number,4
5108ad4aab737f19e9c441aa2fbbe77599056dd2,,2
d0921f170bbb6fbbea3630aa424ad950b6c8d75a,,2
2f048eddb41a7152ad4fef5f9c433375cc424684,,2
b78766ae175c4fae0958bd155452951ad40be416,room_number,2
878dc615778e47fefb90ffaa7eda960fd26ad96d,building_status,2
c32c4affb7931c389e9cf69b3de0cb64d059f4ca,,1
1fe14e3f0b01536eb7cb8ad28b5a0f846940a068,building_status,2
c5ea8c46898fd99cd55be03e5438f2bb168613fa,"room_number,building_status",4
4336f75196ffc70b43182942c50bcfad905ec9d4,,1
d17e914639d5ae8871d5d6c66faaf3476fb831b3,building_status,2
254cb0525e83fdb7aa03cf065f897587ebc72bdd,,1
7049ba3c02ef722524311c45445100bfd62da168,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
70efcded98567fda2e171bc4cb14e23e1d0edce8,"room_number,building_status",4
2def9bed0e3644c48489feb7caf234be2d398f12,"room_number,building_status",3
2dd3104be414df3097cc191a6e78da0bdbbd16ce,,1
306ec31b75acd61f814bcc571ddc5848e18025e8,,2
4d3f9a37cb59e2a55c2ee7fcce3a1e585a4f7334,,1
43f5b840c90ec98846744a2ab98c37ebb0a78ae5,,1
2cd5cc265323e072781fcee41c0620a75c69e363,"room_number,building_status",4
1e6ec4b9f016822c7d0e371131cf06c083439c9a,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
bfebdae36121e08492c85cae997df47503f1a618,,1
10f09fca3d4e34f35e314f06318cc48dc7978d20,,1
918c8b2e0b0954f4cbe6451758d6415aa17824a5,,1
f1ebcaa008534ab8215658188cc416ffd1284f2c,,1
d78bb3d3e22da5c60dbcec559223e9fd3d1dab74,,1
f56c6fa5c379875466e04addb62cbd078b28b37a,price,2
65d9d6be866cbbd5b74408dc92b8c0e4e57e8441,,2
9aeb29d3589c7ad68badd878bba121c3d960970e,,1
57f8e17a618a5581a63cbd6c3bc7097a145305aa,,1
bcb695acbed894f7e7313b17c1017c6a1ce0fb3f,,1
41aa11252aef96586ff611c0cd4a842ace49cd70,,1
1ee8d60e80daa5160e87f68bf2daa5b19ced1c29,,1
bcb695acbed894f7e7313b17c1017c6a1ce0fb3f,,1
435fb6407c50605c05b6502f54ca0486a3b2d01b,,1
038437dc66b9bb276904d309d41c73d2b1d2af25,,1
bfebdae36121e08492c85cae997df47503f1a618,,1
42835169bd9bba0c2cdb46a5c7d96f448493156b,,1
d02404c25762618d91b4414dc487aaafb9a4ed85,,1
ab1b94e189d6325da711c0112a01bc6923101c00,,1
cc2f165e0ef009951fe89cce320e0a7b8d1f9e8b,,1
222914580f0a56da4ee49560f33c1b9148868cec,"price,room_number",2
bab595ec98bd9ffdffb905445b3d4c8bcb2c4c50,,1
3153f6b44e964641137da0da7d908032eb8c715d,,1
264d0ca8a54f0cf9e5c9abe914e4c8ae1e64c2d1,,1
401efb918aaa065e7dfc438deef93838000fc870,,1
522b6ffc6fb2ebf1c8a9358153e17085ad346973,,1
3ec94ca7d4426f0c6faf566877331f0491e98cc1,,1
a86fcb087b85b41ce3be3d77d2c04e67be026e1c,,1
