listing_id,conflict_fields,source_count
36430b6c9b53677d8cfe03e30d339256b70dfcbd,"room_number,building_status",3
30d09c9e3a1cc53973a57fbd36467d728d643b06,building_status,2
46ea8a20533cb8ab620b9d94a384b95c196a3f5b,"size_m2,price,room_number",4
233d53c45bf8fc549bffeadf90dfcaf03917a795,building_status,2
c6360f171d371c6d33cfc907dabbfd8c8a7de488,,1
f2d23d214c0294ce92f0886496c7bbea86d2d721,,2
ea3d63b18f828573ae51e8af23c81d7bba9f22f2,,2
be3fb28f5e1343d3099917e8d0d0eadb4921b719,"price,building_status",6
faf1afb6d44070bbf6cc394f05c006b362acd3d1,building_status,2
ecc47c4935a82b5f620297ea29d66ecfb9607d1c,,2
1ace9cdcb09f501d469eec5fc1095841254c4ae2,,2
24f75be19e5838244fc179773a54bc560aeda28d,building_status,2
41aa11252aef96586ff611c0cd4a842ace49cd70,building_status,2
8590e08deab7063e0a2295054e15226ff4e9edc9,,2
6225e8411210957615f5495596fba1fd84d3b679,"room_number,building_status",2
77a92d5c46d1aff8755ed31f9d9b6a150f059fa6,,3
eb3843746f9462335d10a03e042a17368239919c,building_status,2
435fb6407c50605c05b6502f54ca0486a3b2d01b,room_number,2
7601e11125eeac603ac361cbe23b8b8204738d7d,,1
42304be849a15e9b60ae4bc8f1e3fab98f190947,building_status,4
ee999d4a8aa0e645ac71a56bd6786b66ae55ce0f,building_status,2
d0b59265da6c25899faeb7069a7288db9fc6bcfd,,1
75636501ce2d87f574b7845606c2aa2b24c2c007,building_status,2
1d5a0d95d88426a989dbf152234cfe2c11a4ef30,"price,building_status",5
93409192570eda26de43eb915d1ef0e6a14b0743,building_status,3
19b3f601a6a53511ca7c6947be3dd6b85c4b6132,building_status,2
414bbfc3a3923ac3c6f458de7d0a634950fd94f3,,1
28b5f43b731c393a45c037fb9b50a03a75c6657a,,2
c665b646e300c26988ab35ee89292084124f8061,room_number,2
10f09fca3d4e34f35e314f06318cc48dc7978d20,,2
bfdb3b20d653b2654cee259d69b0191dd6516b53,building_status,2
51814ad23b4ac38ef5d08a01de2253143532dcb9,,2
3daec491dff25bb25401a9246626b8e0e0ab7904,building_status,2
d628009d04931816d2e9385ad6d53249287844f6,building_status,2
e4999e61560a7f0087bd88ab529729461a91597a,building_status,2
e9b5b9f018cb1b247e45c29b1281567145da32ba,,1
aaf7fad29692a4749fba85846292e646c14d21d9,,2
73ffdb618010abb681c82c3eb317fdc4c7cfff61,"room_number,building_status",2
65d9d6be866cbbd5b74408dc92b8c0e4e57e8441,,3
264d0ca8a54f0cf9e5c9abe914e4c8ae1e64c2d1,,2
b63069842906baf7c312d08158a3bb12dbdf6d90,building_status,2
bfffcef78c3d52c94510fffe4b2087eb567d4489,building_status,2
edd98207cd80d358595def7831801900ba0703cd,,1
134711cd37b226c1408c8069bb7256d49263ba38,building_status,2
6ecf65b445632e5f54bff3f84ab506d13a804277,,2
8adb52cb5406fde53207b6ed5ee91153a923c75d,room_number,4
6d5da5a2ddafcdc7b8f376b317765ed1fc265ae4,"price,building_status",5
a7da206fb522395cf93344fe22b92274f7680573,,2
9f2fe2dc4be839887c5490c4b15b962108e41574,"price,room_number,building_status",3
afa34ace488b85f8f4dc5c22f217c43d941d6879,"size_m2,price,room_number,building_status",4
5108ad4aab737f19e9c441aa2fbbe77599056dd2,,2
62657d32cc22078d3e30e927709d5f0147cb247e,building_status,2
1dc9450161d7543307a5e28b040348bb358003c9,room_number,4
